Hãng xe,Dòng xe,Đời xe,Phiên bản,Màu xe,Công tơ mét (km),Nhập khẩu,Tình trạng,Giá (VNĐ)
Hyundai,Santa Fe,2017,MT,Trắng,64786,Nhập khẩu,Trung bình,947000000
Kia,Carnival,2018,AT,Xám,73827,Trong nước,Trung bình,747000000
Hyundai,Santa Fe,2015,S,Xanh,62868,Nhập khẩu Úc,Trung bình,456000000
Honda,Jazz,2020,AT,Trắng,19002,Trong nước,Tốt,451000000
Toyota,Veloz,2012,AT,Đỏ,28055,Nhập khẩu Mỹ,Trung bình,388000000
Mazda,CX-30,2018,LUX,Xám,98043,Nhập khẩu,Tốt,626000000
Ford,Escape,2013,MT,Bạc,54997,Nhập khẩu,Rất tốt,563000000
Nissan,Z,2025,LUX,Trắng,14732,Nhập khẩu Úc,Mới,1759000000
Hyundai,Tucson,2022,AT,Đỏ,17341,Nhập khẩu Úc,Rất tốt,906000000
Kia,Carnival,2019,AT,Vàng,57615,Trong nước,Tốt,1066000000
Suzuki,Vitara,2022,S,Đen,27833,Nhập khẩu Mỹ,Rất tốt,810000000
Mazda,Mazda6,2020,LUX,Đen,34755,Nhập khẩu Mỹ,Rất tốt,1065000000
Nissan,Z,2020,MT,Xám,21674,Trong nước,Tốt,2362000000
BMW,X3,2026,AT,Xám,5045,Trong nước,Mới,4092000000
Mitsubishi,Outlander,2023,AT,Xanh,27746,Nhập khẩu,Rất tốt,695000000
Honda,Jazz,2023,AT,Bạc,11549,Nhập khẩu Úc,Rất tốt,833000000
Mitsubishi,Xforce,2013,LUX,Bạc,47017,Nhập khẩu,Rất tốt,570000000
Mitsubishi,Xpander,2022,LUX,Xám,6408,Nhập khẩu,Rất tốt,453000000
Honda,Jazz,2018,S,Đen,108488,Trong nước,Trung bình,258000000
Honda,Civic,2020,RS,Nâu,12195,Nhập khẩu,Trung bình,791000000
Kia,Carens,2019,S,Xám,54699,Nhập khẩu Mỹ,Tốt,593000000
Ford,Focus,2017,LUX,Đen,49318,Trong nước,Rất tốt,535000000
Toyota,Corolla Altis,2020,AT,Bạc,21965,Trong nước,Tốt,428000000
Kia,Sonet,2015,S,Đỏ,82591,Trong nước,Trung bình,311000000
Hyundai,Accent,2021,MT,Trắng,11597,Nhập khẩu Nhật,Rất tốt,494000000
Suzuki,XL7,2016,S,Trắng,69537,Nhập khẩu Nhật,Trung bình,405000000
Kia,EV6,2024,LUX,Trắng,10349,Nhập khẩu,Mới,1855000000
Toyota,Innova,2012,Venturer,Trắng,116882,Nhập khẩu,Trung bình,410000000
Chevrolet,Equinox,2021,MT,Vàng,14300,Trong nước,Rất tốt,867000000
Suzuki,Swift,2013,AT,Xanh,145240,Trong nước,Trung bình,191000000
Hyundai,Creta,2013,X,Xanh,78714,Nhập khẩu Nhật,Trung bình,567000000
BMW,X3,2012,AT,Ghi,137471,Trong nước,Trung bình,1333000000
Hyundai,Stargazer,2012,AT,Đỏ,56527,Nhập khẩu,Tốt,487000000
Hyundai,Elantra,2015,LUX,Nâu,62952,Nhập khẩu,Trung bình,408000000
Honda,Civic,2012,TYPE R,Trắng,158257,Nhập khẩu Mỹ,Trung bình,337000000
Nissan,Kicks,2015,AT,Ghi,146592,Nhập khẩu,Trung bình,292000000
Honda,HR-V,2022,MT,Đen,13322,Nhập khẩu,Rất tốt,938000000
Toyota,Hilux,2017,LUX,Đỏ,37642,Nhập khẩu Nhật,Trung bình,479000000
Kia,EV6,2019,LUX,Đỏ,33981,Nhập khẩu Nhật,Rất tốt,2145000000
Mitsubishi,Xforce,2016,LUX,Đỏ,46985,Trong nước,Tốt,494000000
Hyundai,Kona,2022,MT,Đen,9733,Nhập khẩu Úc,Rất tốt,702000000
Kia,Cerato,2020,LUX,Cam,17193,Nhập khẩu,Tốt,582000000
Mazda,BT-50,2012,AT,Cam,128555,Nhập khẩu,Trung bình,448000000
Mazda,CX-5,2023,MT,Cam,6013,Nhập khẩu Nhật,Rất tốt,891000000
Suzuki,Crossover,2023,S,Xanh,20847,Trong nước,Rất tốt,598000000
Nissan,X-Trail,2023,LUX,Xám,7656,Trong nước,Rất tốt,914000000
Ford,Ranger,2014,LUX,Nâu,43230,Nhập khẩu Nhật,Tốt,896000000
Ford,Focus,2012,LUX,Trắng,23493,Nhập khẩu,Tốt,369000000
Suzuki,Ciaz,2017,LUX,Xám,37307,Nhập khẩu Nhật,Trung bình,276000000
Mercedes-Benz,GLS,2017,LUX,Đỏ,100455,Nhập khẩu Nhật,Trung bình,2831000000
Chevrolet,Trailblazer,2019,S,Xanh,97192,Nhập khẩu Nhật,Tốt,811000000
Chevrolet,Trailblazer,2015,S,Đen,33773,Nhập khẩu Mỹ,Tốt,873000000
Hyundai,Stargazer,2016,S,Bạc,54252,Trong nước,Rất tốt,503000000
Kia,Morning,2017,LUX,Đỏ,54951,Trong nước,Rất tốt,192000000
Mitsubishi,Attrage,2015,LUX,Đen,133745,Nhập khẩu Mỹ,Trung bình,263000000
Chevrolet,Trailblazer,2024,LUX,Xám,10071,Nhập khẩu Úc,Mới,866000000
Ford,Everest,2016,AT,Trắng,59580,Nhập khẩu Mỹ,Tốt,1130000000
Kia,Carens,2013,MT,Nâu,81101,Nhập khẩu,Tốt,375000000
Nissan,Almera,2015,LUX,Xám,123380,Nhập khẩu,Trung bình,261000000
Hyundai,Elantra,2013,MT,Đen,20527,Trong nước,Tốt,382000000
Hyundai,Stargazer,2012,LUX,Trắng,48360,Trong nước,Trung bình,408000000
Mercedes-Benz,C-Class,2023,S,Nâu,38288,Trong nước,Trung bình,1673000000
Honda,Civic,2018,TYPE R,Bạc,66234,Nhập khẩu Mỹ,Trung bình,590000000
BMW,X5,2017,LUX,Đen,63049,Nhập khẩu,Tốt,4668000000
Ford,Mustang,2013,AT,Bạc,61484,Nhập khẩu Nhật,Trung bình,2081000000
Peugeot,5008,2022,S,Bạc,10983,Trong nước,Rất tốt,949000000
Hyundai,Elantra,2015,S,Cam,60427,Nhập khẩu Mỹ,Tốt,385000000
Chevrolet,Colorado,2023,AT,Xanh,19914,Nhập khẩu Nhật,Rất tốt,1034000000
Hyundai,Palisade,2022,AT,Bạc,12586,Nhập khẩu,Rất tốt,1876000000
Toyota,Camry,2017,2.5Q,Trắng,88876,Nhập khẩu Mỹ,Trung bình,554000000
Chevrolet,Cruze,2025,S,Đen,13824,Nhập khẩu Nhật,Mới,798000000
Ford,Mustang,2017,AT,Bạc,29242,Trong nước,Trung bình,1588000000
Mitsubishi,Xforce,2020,MT,Đen,23815,Trong nước,Rất tốt,570000000
Chevrolet,Equinox,2014,LUX,Cam,48835,Nhập khẩu Mỹ,Tốt,983000000
Lexus,RX,2022,S,Đen,21282,Nhập khẩu Úc,Rất tốt,4502000000
Ford,Focus,2016,S,Trắng,35812,Trong nước,Tốt,559000000
Mazda,Mazda6,2024,LUX,Đen,7156,Trong nước,Mới,898000000
Honda,City,2016,MT,Bạc,135475,Nhập khẩu,Trung bình,100000000
Audi,A4,2018,LUX,Trắng,35577,Nhập khẩu Nhật,Tốt,2006000000
Suzuki,Vitara,2021,AT,Trắng,65643,Nhập khẩu Nhật,Trung bình,555000000
Ford,Explorer,2015,AT,Đen,250000,Trong nước,Trung bình,585000000
Mitsubishi,Xforce,2026,LUX,Xanh,785,Nhập khẩu,Mới,875000000
Toyota,Wigo,2022,AT,Bạc,8714,Trong nước,Rất tốt,316000000
Ford,Territory,2014,AT,Bạc,185184,Nhập khẩu,Trung bình,478000000
Toyota,Fortuner,2021,SR5,Trắng,83092,Trong nước,Trung bình,679000000
Kia,Sonet,2012,AT,Đen,25654,Nhập khẩu Mỹ,Tốt,448000000
Ford,Escape,2016,AT,Bạc,20831,Nhập khẩu,Trung bình,610000000
Hyundai,Elantra,2015,S,Đen,29661,Nhập khẩu,Trung bình,382000000
Mercedes-Benz,GLA,2017,LUX,Xám,250000,Nhập khẩu Úc,Trung bình,769000000
Toyota,Corolla Cross,2020,LUX,Trắng,14564,Trong nước,Tốt,521000000
Honda,CR-V,2024,RX,Nâu,4887,Nhập khẩu Nhật,Mới,1351000000
Ford,Territory,2022,LUX,Xám,31412,Nhập khẩu,Rất tốt,1021000000
Kia,Sorento,2014,LUX,Bạc,21133,Trong nước,Tốt,767000000
Land Rover,Discovery,2026,S,Trắng,6493,Nhập khẩu Nhật,Mới,5864000000
Honda,Accord,2017,AT,Vàng,37840,Nhập khẩu Úc,Trung bình,560000000
Kia,Sonet,2015,S,Trắng,129061,Trong nước,Trung bình,272000000
Chevrolet,Captiva,2024,S,Bạc,2333,Nhập khẩu Nhật,Mới,845000000
Ford,Escape,2023,AT,Bạc,21250,Trong nước,Rất tốt,874000000
Toyota,Innova,2017,G,Bạc,81684,Trong nước,Trung bình,222000000
Honda,CR-V,2026,G,Ghi,1752,Nhập khẩu Nhật,Mới,1737000000
Mazda,CX-30,2012,MT,Bạc,21948,Trong nước,Tốt,463000000
Nissan,Navara,2012,MT,Đen,48949,Trong nước,Trung bình,433000000
Ford,Explorer,2026,MT,Trắng,2389,Nhập khẩu,Mới,2017000000
Kia,Sportage,2013,LUX,Đen,111045,Nhập khẩu Mỹ,Trung bình,519000000
Chevrolet,Captiva,2015,AT,Xanh,108619,Nhập khẩu Mỹ,Trung bình,372000000
Honda,CR-V,2017,G,Xám,53587,Nhập khẩu Nhật,Trung bình,805000000
Mitsubishi,Triton,2016,S,Đỏ,71298,Nhập khẩu Nhật,Tốt,628000000
Hyundai,Elantra,2014,MT,Trắng,70984,Nhập khẩu Nhật,Tốt,493000000
Toyota,Wigo,2025,MT,Xanh,12287,Trong nước,Mới,450000000
Mazda,CX-5,2019,Signature,Ghi,36028,Nhập khẩu Nhật,Trung bình,675000000
Chevrolet,Captiva,2016,AT,Bạc,37720,Trong nước,Trung bình,536000000
Ford,EcoSport,2022,LUX,Xám,9311,Nhập khẩu Nhật,Rất tốt,542000000
Honda,CR-V,2015,G,Trắng,62255,Trong nước,Trung bình,472000000
Honda,CR-V,2020,RX,Bạc,23714,Trong nước,Trung bình,709000000
Suzuki,Ertiga,2024,MT,Bạc,4060,Trong nước,Mới,648000000
Kia,Sorento,2018,LUX,Xanh,18631,Nhập khẩu Nhật,Rất tốt,1060000000
Kia,Carens,2016,LUX,Ghi,89739,Nhập khẩu Nhật,Tốt,581000000
Toyota,Corolla Altis,2014,S,Đen,33225,Nhập khẩu Nhật,Tốt,439000000
Honda,Accord,2014,MT,Trắng,32063,Nhập khẩu Úc,Tốt,1140000000
Toyota,Corolla Cross,2016,MT,Bạc,49277,Nhập khẩu,Tốt,445000000
Toyota,Innova,2012,E,Xanh,34216,Nhập khẩu Nhật,Tốt,743000000
Mercedes-Benz,GLE,2021,LUX,Xám,30164,Nhập khẩu Úc,Tốt,2687000000
Mitsubishi,Attrage,2013,S,Đen,45539,Trong nước,Rất tốt,240000000
Hyundai,Kona,2013,MT,Đen,52772,Trong nước,Trung bình,358000000
Toyota,Hilux,2017,S,Nâu,62371,Nhập khẩu Nhật,Tốt,584000000
Mazda,Mazda6,2014,AT,Nâu,32516,Nhập khẩu Úc,Rất tốt,1062000000
Mitsubishi,Pajero Sport,2021,MT,Bạc,13894,Trong nước,Trung bình,1171000000
Mazda,Mazda6,2018,MT,Nâu,95703,Nhập khẩu Úc,Tốt,538000000
Toyota,Veloz,2013,MT,Xanh,51277,Nhập khẩu,Trung bình,383000000
BMW,X7,2023,MT,Đen,12436,Nhập khẩu Nhật,Rất tốt,9156000000
Mitsubishi,Pajero Sport,2016,AT,Xám,21994,Trong nước,Tốt,1001000000
Toyota,Veloz,2012,MT,Ghi,57900,Nhập khẩu Úc,Tốt,202000000
Chevrolet,Cruze,2014,AT,Trắng,64429,Nhập khẩu Nhật,Tốt,300000000
Hyundai,Stargazer,2026,MT,Xám,5728,Trong nước,Mới,683000000
Hyundai,Ioniq 5,2016,S,Đen,87522,Nhập khẩu Úc,Trung bình,879000000
Ford,Focus,2023,S,Vàng,7735,Nhập khẩu,Rất tốt,588000000
Mazda,BT-50,2018,MT,Xanh,26044,Trong nước,Trung bình,379000000
Honda,Accord,2013,AT,Trắng,111552,Nhập khẩu Mỹ,Trung bình,710000000
Ford,Explorer,2012,MT,Trắng,181737,Nhập khẩu Nhật,Trung bình,486000000
Hyundai,Accent,2025,AT,Nâu,1022,Trong nước,Mới,437000000
Nissan,Kicks,2020,LUX,Ghi,25834,Nhập khẩu Nhật,Rất tốt,1108000000
Kia,Sonet,2012,S,Trắng,33256,Trong nước,Trung bình,325000000
Suzuki,XL7,2012,MT,Nâu,23407,Nhập khẩu Nhật,Trung bình,473000000
Honda,Accord,2017,AT,Xám,41658,Nhập khẩu Úc,Trung bình,863000000
Hyundai,Ioniq 5,2024,AT,Xám,1085,Nhập khẩu Nhật,Mới,2455000000
Toyota,Raize,2012,S,Bạc,88070,Nhập khẩu Nhật,Trung bình,385000000
Honda,City,2017,MT,Bạc,61963,Nhập khẩu,Trung bình,252000000
Ford,Explorer,2021,AT,Bạc,13571,Nhập khẩu Nhật,Rất tốt,1976000000
Honda,City,2020,MT,Trắng,10213,Nhập khẩu,Tốt,443000000
Honda,Civic,2016,RS,Trắng,110809,Nhập khẩu Nhật,Trung bình,434000000
Mazda,MX-5,2024,MT,Trắng,1356,Nhập khẩu,Mới,2798000000
Kia,Seltos,2015,AT,Đỏ,71257,Nhập khẩu,Tốt,497000000
Mitsubishi,Triton,2017,MT,Bạc,42597,Nhập khẩu,Tốt,419000000
Mazda,Mazda3,2024,MT,Đen,6164,Nhập khẩu Nhật,Mới,1127000000
Mazda,CX-30,2020,MT,Xám,18723,Trong nước,Trung bình,649000000
Toyota,Fortuner,2024,MT,Trắng,636,Trong nước,Mới,1927000000
Honda,Civic,2020,MT,Đen,15801,Trong nước,Trung bình,709000000
Toyota,Camry,2020,2.0G,Đen,14791,Trong nước,Tốt,958000000
Hyundai,Santa Fe,2014,MT,Trắng,50725,Trong nước,Tốt,1114000000
BMW,3 Series,2024,S,Bạc,7516,Trong nước,Mới,2821000000
Nissan,Almera,2022,S,Ghi,9287,Nhập khẩu,Rất tốt,523000000
Kia,Sportage,2015,AT,Xanh,20667,Nhập khẩu Nhật,Rất tốt,930000000
Honda,City,2025,RS,Bạc,5122,Nhập khẩu Mỹ,Mới,713000000
Toyota,Camry,2018,3.5Q,Đỏ,50370,Nhập khẩu Úc,Tốt,733000000
Mitsubishi,Attrage,2014,MT,Trắng,201133,Nhập khẩu Nhật,Trung bình,164000000
Mitsubishi,Attrage,2020,MT,Đen,30477,Trong nước,Trung bình,310000000
Chevrolet,Spark,2012,S,Trắng,55040,Trong nước,Rất tốt,182000000
Toyota,Hilux,2019,LUX,Xanh,47372,Trong nước,Rất tốt,717000000
Toyota,Fortuner,2015,Legender,Trắng,164634,Nhập khẩu Mỹ,Trung bình,528000000
Chevrolet,Colorado,2021,AT,Đen,50536,Nhập khẩu,Tốt,575000000
Ford,Focus,2017,AT,Đen,41452,Nhập khẩu,Trung bình,386000000
Hyundai,Kona,2021,AT,Trắng,16229,Nhập khẩu Úc,Tốt,788000000
Toyota,Veloz,2015,S,Bạc,36756,Trong nước,Tốt,428000000
Kia,Sportage,2017,LUX,Đen,58611,Trong nước,Rất tốt,429000000
Toyota,Land Cruiser Prado,2017,LUX,Đen,94952,Nhập khẩu Nhật,Tốt,2324000000
Toyota,Veloz,2019,S,Đỏ,41585,Trong nước,Tốt,428000000
Toyota,Veloz,2014,LUX,Xám,23861,Trong nước,Tốt,362000000
Chevrolet,Equinox,2019,MT,Đen,63861,Trong nước,Trung bình,767000000
Toyota,Land Cruiser Prado,2014,MT,Trắng,110185,Trong nước,Trung bình,1654000000
Hyundai,Stargazer,2024,MT,Đen,2392,Nhập khẩu,Mới,744000000
Suzuki,Vitara,2015,S,Vàng,80006,Trong nước,Trung bình,278000000
Hyundai,Creta,2012,AT,Đen,50588,Nhập khẩu,Rất tốt,400000000
BMW,X1,2014,MT,Đen,140961,Trong nước,Trung bình,737000000
Kia,Sonet,2013,MT,Xám,122618,Nhập khẩu,Trung bình,206000000
Mazda,MX-5,2023,S,Đen,15434,Nhập khẩu Úc,Rất tốt,2126000000
Nissan,Z,2018,MT,Đen,59689,Nhập khẩu,Tốt,2070000000
Audi,Q7,2026,LUX,Trắng,15040,Nhập khẩu Úc,Rất tốt,7360000000
Honda,Accord,2026,S,Nâu,4792,Trong nước,Mới,1396000000
Peugeot,508,2026,S,Nâu,2630,Nhập khẩu Nhật,Mới,2073000000
Honda,Jazz,2018,S,Bạc,68240,Nhập khẩu,Trung bình,338000000
Mitsubishi,Attrage,2020,AT,Bạc,15716,Nhập khẩu Mỹ,Rất tốt,360000000
Lexus,LX,2015,MT,Đen,47054,Nhập khẩu Úc,Rất tốt,6374000000
Mazda,Mazda6,2012,S,Trắng,130433,Nhập khẩu Úc,Trung bình,488000000
Mazda,BT-50,2020,MT,Đen,39644,Trong nước,Rất tốt,723000000
Mitsubishi,Pajero Sport,2012,MT,Trắng,48445,Nhập khẩu,Rất tốt,1115000000
Kia,Sorento,2022,S,Nâu,8384,Trong nước,Rất tốt,1183000000
Toyota,Hilux,2022,LUX,Xám,11160,Trong nước,Rất tốt,722000000
Mazda,CX-5,2023,Signature,Xám,9679,Nhập khẩu Úc,Rất tốt,665000000
Toyota,Vios,2019,V,Trắng,22360,Trong nước,Tốt,378000000
Hyundai,Accent,2012,AT,Xanh,94798,Nhập khẩu,Tốt,257000000
Ford,EcoSport,2013,AT,Bạc,35974,Nhập khẩu Úc,Rất tốt,600000000
Honda,Accord,2023,MT,Vàng,13476,Trong nước,Rất tốt,1479000000
Hyundai,Santa Fe,2012,S,Bạc,46814,Trong nước,Rất tốt,927000000
Toyota,Veloz,2021,S,Trắng,102498,Nhập khẩu Nhật,Trung bình,407000000
Honda,City,2023,AT,Xám,11945,Trong nước,Rất tốt,489000000
Toyota,Corolla Cross,2024,AT,Xanh,583,Trong nước,Mới,925000000
Hyundai,Accent,2014,MT,Xám,25176,Trong nước,Tốt,236000000
Kia,Seltos,2022,AT,Xanh,17508,Trong nước,Rất tốt,840000000
Ford,Focus,2016,S,Đỏ,70308,Nhập khẩu,Tốt,503000000
Toyota,Veloz,2015,AT,Xám,49842,Nhập khẩu,Trung bình,438000000
Porsche,Cayenne,2014,LUX,Trắng,51094,Nhập khẩu Úc,Tốt,5750000000
Toyota,Yaris,2018,LUX,Đỏ,17106,Nhập khẩu,Tốt,646000000
Mazda,CX-5,2026,MT,Đen,5087,Nhập khẩu Úc,Mới,1225000000
Ford,Escape,2015,MT,Đen,58646,Trong nước,Trung bình,492000000
Toyota,Raize,2013,LUX,Vàng,28909,Trong nước,Rất tốt,355000000
Hyundai,Kona,2012,MT,Trắng,26029,Trong nước,Tốt,475000000
Mazda,CX-30,2018,MT,Đen,20012,Trong nước,Rất tốt,672000000
Toyota,Raize,2013,LUX,Đen,25857,Trong nước,Tốt,276000000
Mitsubishi,Xforce,2024,AT,Trắng,6586,Trong nước,Mới,709000000
Hyundai,Creta,2021,X,Xám,15031,Nhập khẩu,Tốt,609000000
BMW,3 Series,2012,LUX,Ghi,35927,Nhập khẩu Úc,Trung bình,1539000000
Mitsubishi,Xpander,2023,MT,Trắng,7668,Nhập khẩu,Rất tốt,572000000
Toyota,Corolla Cross,2022,S,Ghi,49326,Nhập khẩu Úc,Rất tốt,519000000
Kia,Carnival,2021,AT,Trắng,54352,Nhập khẩu Úc,Tốt,1066000000
Suzuki,Crossover,2012,MT,Xám,34410,Nhập khẩu,Rất tốt,399000000
Kia,Carens,2014,AT,Đỏ,41826,Trong nước,Rất tốt,577000000
Mitsubishi,Attrage,2024,S,Ghi,1649,Trong nước,Mới,407000000
Hyundai,Kona,2012,S,Cam,57236,Trong nước,Trung bình,456000000
Honda,HR-V,2019,LUX,Trắng,15752,Trong nước,Tốt,535000000
Peugeot,2008,2024,S,Xám,7789,Nhập khẩu,Mới,635000000
BMW,X5,2023,MT,Xám,15367,Nhập khẩu Úc,Rất tốt,4554000000
Hyundai,Tucson,2018,LUX,Đỏ,101984,Trong nước,Trung bình,355000000
Nissan,Navara,2019,LUX,Trắng,21824,Nhập khẩu Nhật,Tốt,617000000
BMW,X5,2016,AT,Trắng,109660,Trong nước,Trung bình,2222000000
Kia,Sonet,2024,MT,Xám,10990,Trong nước,Mới,615000000
Chevrolet,Trailblazer,2015,S,Trắng,27481,Trong nước,Tốt,588000000
Honda,City,2021,AT,Ghi,21693,Trong nước,Tốt,339000000
Peugeot,3008,2013,MT,Đen,30258,Trong nước,Tốt,615000000
Mitsubishi,Xforce,2017,LUX,Xám,36169,Nhập khẩu,Rất tốt,614000000
Honda,HR-V,2013,AT,Đen,36802,Nhập khẩu,Rất tốt,648000000
Hyundai,Kona,2020,LUX,Trắng,28686,Nhập khẩu,Trung bình,476000000
Mazda,CX-5,2022,Premium,Bạc,12420,Trong nước,Rất tốt,880000000
Honda,CR-V,2014,G,Trắng,182326,Nhập khẩu Nhật,Trung bình,464000000
Toyota,Wigo,2020,AT,Nâu,13107,Nhập khẩu,Tốt,452000000
BMW,X1,2023,S,Xanh,55930,Nhập khẩu Mỹ,Rất tốt,1342000000
Mercedes-Benz,E-Class,2024,AT,Nâu,1835,Nhập khẩu Mỹ,Mới,3792000000
Kia,Morning,2012,MT,Trắng,101523,Nhập khẩu Nhật,Trung bình,184000000
Honda,CR-V,2012,L,Xanh,42767,Nhập khẩu Mỹ,Tốt,786000000
Kia,Seltos,2013,AT,Trắng,28492,Nhập khẩu Mỹ,Tốt,496000000
Mitsubishi,Pajero Sport,2014,S,Xám,127313,Trong nước,Trung bình,580000000
Suzuki,XL7,2013,LUX,Đen,40317,Nhập khẩu Mỹ,Tốt,468000000
Toyota,Corolla Altis,2023,MT,Xanh,20056,Nhập khẩu,Rất tốt,550000000
Kia,Cerato,2014,S,Đỏ,65965,Nhập khẩu,Tốt,422000000
Toyota,Camry,2017,3.5Q,Vàng,55100,Trong nước,Tốt,675000000
Kia,Sportage,2017,AT,Trắng,57665,Nhập khẩu Nhật,Tốt,501000000
Toyota,Corolla Cross,2018,LUX,Nâu,65070,Trong nước,Trung bình,336000000
Honda,CR-V,2012,G,Nâu,25052,Nhập khẩu Mỹ,Tốt,639000000
Mercedes-Benz,GLA,2015,MT,Nâu,80674,Trong nước,Trung bình,854000000
Mazda,CX-5,2019,MT,Trắng,100939,Nhập khẩu Mỹ,Trung bình,666000000
Ford,Mustang,2013,LUX,Đen,23273,Nhập khẩu Mỹ,Tốt,3033000000
Nissan,Navara,2019,AT,Đen,20760,Nhập khẩu Nhật,Rất tốt,690000000
Kia,Sorento,2020,S,Ghi,39003,Trong nước,Tốt,1137000000
Hyundai,Stargazer,2022,S,Trắng,13049,Nhập khẩu,Rất tốt,565000000
Hyundai,Elantra,2020,LUX,Trắng,21885,Nhập khẩu Nhật,Tốt,802000000
Honda,Jazz,2023,S,Trắng,7062,Trong nước,Rất tốt,464000000
Mazda,BT-50,2016,LUX,Xám,58872,Nhập khẩu,Trung bình,455000000
Toyota,Hilux,2018,MT,Vàng,20141,Trong nước,Tốt,567000000
Mazda,Mazda6,2015,LUX,Trắng,55609,Trong nước,Tốt,568000000
Chevrolet,Spark,2017,LUX,Trắng,99326,Trong nước,Trung bình,185000000
Toyota,Fortuner,2017,SR5,Đen,36431,Nhập khẩu,Tốt,976000000
Kia,Sorento,2026,MT,Nâu,4588,Trong nước,Mới,1900000000
Kia,EV6,2019,LUX,Trắng,198551,Nhập khẩu Nhật,Trung bình,943000000
Kia,K5,2014,S,Bạc,83823,Nhập khẩu,Tốt,534000000
Hyundai,Santa Fe,2018,AT,Vàng,84961,Nhập khẩu,Tốt,1175000000
Hyundai,Stargazer,2022,LUX,Nâu,12502,Trong nước,Rất tốt,910000000
BMW,X5,2016,S,Đen,100323,Nhập khẩu Nhật,Trung bình,2104000000
Toyota,Camry,2022,2.5G,Bạc,5578,Nhập khẩu Nhật,Rất tốt,1001000000
Honda,Civic,2019,RS,Ghi,19983,Trong nước,Tốt,580000000
Toyota,Fortuner,2018,AT,Trắng,23625,Nhập khẩu,Tốt,1123000000
Mazda,Mazda6,2019,LUX,Trắng,34535,Nhập khẩu Úc,Tốt,1072000000
Kia,Morning,2012,S,Đen,122803,Nhập khẩu Mỹ,Trung bình,134000000
Kia,K5,2021,MT,Trắng,19776,Nhập khẩu,Tốt,707000000
Chevrolet,Captiva,2012,MT,Cam,78471,Trong nước,Trung bình,390000000
Ford,EcoSport,2014,S,Đen,87953,Trong nước,Tốt,302000000
Mazda,CX-30,2026,AT,Trắng,6176,Trong nước,Mới,1345000000
Honda,HR-V,2012,LUX,Nâu,44309,Nhập khẩu Nhật,Rất tốt,512000000
Suzuki,Swift,2012,MT,Bạc,67328,Nhập khẩu,Trung bình,248000000
Chevrolet,Colorado,2016,AT,Đỏ,43042,Nhập khẩu Nhật,Tốt,784000000
Lexus,RX,2012,AT,Ghi,24818,Nhập khẩu Nhật,Rất tốt,3522000000
Hyundai,Ioniq 5,2016,S,Xám,250000,Trong nước,Trung bình,539000000
Chevrolet,Cruze,2013,LUX,Đen,27481,Nhập khẩu Nhật,Rất tốt,432000000
Toyota,Corolla Cross,2018,AT,Vàng,17853,Trong nước,Tốt,764000000
Hyundai,Stargazer,2020,AT,Đỏ,58486,Trong nước,Rất tốt,575000000
Toyota,Innova,2016,V,Trắng,39761,Nhập khẩu Nhật,Tốt,521000000
Honda,HR-V,2018,S,Bạc,54925,Nhập khẩu Nhật,Tốt,477000000
Kia,Sportage,2023,S,Đen,10585,Nhập khẩu Nhật,Rất tốt,1504000000
Hyundai,Palisade,2023,LUX,Trắng,11953,Trong nước,Rất tốt,1530000000
Mazda,CX-30,2023,MT,Xám,9255,Trong nước,Rất tốt,970000000
Toyota,Camry,2019,2.0G,Đen,30965,Trong nước,Rất tốt,803000000
Toyota,Corolla Altis,2015,LUX,Trắng,49085,Nhập khẩu Nhật,Rất tốt,446000000
Kia,Cerato,2023,AT,Trắng,22842,Trong nước,Rất tốt,569000000
Toyota,Camry,2012,2.5Q,Ghi,59406,Nhập khẩu Úc,Tốt,685000000
Suzuki,Ertiga,2023,MT,Đỏ,45245,Nhập khẩu,Rất tốt,571000000
Kia,Carnival,2017,AT,Cam,22353,Trong nước,Tốt,1035000000
Toyota,Corolla Altis,2017,AT,Vàng,58461,Trong nước,Rất tốt,563000000
Hyundai,Palisade,2017,AT,Ghi,68268,Trong nước,Trung bình,1035000000
Hyundai,Stargazer,2021,MT,Xanh,68148,Trong nước,Trung bình,556000000
Toyota,Corolla Altis,2020,MT,Đen,11159,Trong nước,Tốt,462000000
Toyota,Wigo,2018,LUX,Trắng,47381,Nhập khẩu Mỹ,Tốt,313000000
Suzuki,Vitara,2016,AT,Bạc,125688,Nhập khẩu,Trung bình,375000000
Honda,Jazz,2016,MT,Trắng,35233,Nhập khẩu Úc,Tốt,567000000
Audi,Q3,2018,MT,Bạc,94413,Nhập khẩu,Tốt,1571000000
Ford,Focus,2022,MT,Bạc,5269,Trong nước,Rất tốt,552000000
Audi,Q3,2026,S,Cam,9229,Nhập khẩu Mỹ,Mới,3153000000
Chevrolet,Spark,2020,S,Bạc,72209,Nhập khẩu Mỹ,Tốt,267000000
Honda,Jazz,2021,MT,Xám,34623,Trong nước,Tốt,354000000
Hyundai,Tucson,2025,S,Đen,4046,Trong nước,Mới,954000000
Honda,Civic,2018,TYPE R,Đỏ,16744,Nhập khẩu,Tốt,779000000
Honda,HR-V,2014,AT,Xám,158993,Trong nước,Trung bình,299000000
Mazda,Mazda3,2023,AT,Trắng,13896,Nhập khẩu Nhật,Rất tốt,988000000
Mazda,BT-50,2019,MT,Cam,16118,Nhập khẩu,Tốt,796000000
